InstitutionID,StreetTown,InstitutionName,BedCount,OperationYearMonth,Address,PhoneNumber,PostalCode,OperationMode,LegalRepresentative
200383,南翔镇,上海市嘉定区第一社会福利院,498,201509,上海市嘉定区嘉好路600号,59928508,201802,"公建
公营",陈俊祎
200384,马陆镇,上海市嘉定区马陆镇福利院,396,200912,上海市嘉定区马陆镇戬浜大治路577弄,59516017,201800,"公建
公营",刘芹
200385,嘉定镇街道,上海市嘉定社会福利院,260,200505,上海市嘉定区嘉定镇街道北大街301号,69992702,201899,公建民营  (民非）,朱雪芬
200386,南翔镇,上海嘉定区南翔镇福利院,400,200106,上海市嘉定区南翔镇众仁路355号,59122576,201802,"公建
公营",刘冰
200387,工业区,上海嘉定区虬桥社会福利院,470,200803,上海市嘉定工业区虬桥路300号,69161201,201821,公建民营  (民非）,管富根
200388,徐行镇,上海嘉定康福敬养院,199,200212,上海市嘉定区徐行镇新建一路2258号,59556228,201808,民建民营  (民非）,徐根明
200389,徐行镇,上海礼爱颐养院,298,201312,上海市嘉定区徐行镇嘉行公路1257号,59552266,201808,民建民营  (民非）,陆惠明
200390,华亭镇,上海市嘉定区华亭敬老院,563,198501,上海市嘉定区华亭镇华谊一路176号,59970181,201811,公建民营  (民非）,周根兴
200391,马陆镇,上海嘉定马陆社区戬浜长者照护之家,28,201602,上海市嘉定区嘉富路500弄356号,59548160,201818,公建民营  (民非）,郁惠丽
200392,马陆镇,上海嘉定马陆社区新联长者照护之家,36,201508,上海市嘉定区复华路55号,59900752,201818,公建民营  (民非）,周莉
200393,安亭镇,上海嘉定安亭社区赵巷长者照护之家,49,201503,上海市嘉定区翔方公路3000号,59503212,201814,公建民营  (民非）,唐林娟
200394,马陆镇,上海嘉定马陆社区彭赵长者照护之家,33,201406,上海市嘉定区丰登路1551弄8号,59900130,201801,公建民营  (民非）,赵强
200395,马陆镇,上海嘉定马陆社区北管长者照护之家,48,201511,上海市嘉定区马陆镇北陈路1286号,69152449,201801,公建民营  (民非）,邵伟梁
200396,马陆镇,上海嘉定马陆社区包桥长者照护之家,48,201510,上海市嘉定区宝安公路2888弄376号,39907876,201801,公建民营  (民非）,赵燕
200397,工业区,上海嘉定工业区社区虬桥长者照护之家,35,201508,上海市嘉定工业区虬桥路300号,69161201,201821,公建民营  (民非）,管富根
200398,枫泾镇,枫泾镇第一敬老院,131,1989.9,枫杰路65号,57351684,201501,公建公营,吴君辉
200399,枫泾镇,上海金山区枫泾镇第二敬老院,128,1989.9,枫泾亭枫公路7038号,57361217,201502,公建公营,沈海红
200400,朱泾镇,上海金山区朱泾镇第一敬老院,106,1996.1,朱泾镇民主村东方红11组,57307697,201599,公建公营,李英
200401,朱泾镇,上海金山区朱泾镇第二敬老院,116,1978.1,朱泾镇浦银路240号,57340379,201503, 公建公营,赵婉梅
200402,朱泾镇,上海安宁养老院,101,2011.9,金山区朱泾镇新农康健路46号,57346600,201599,公建公营,戈金宝
200403,亭林镇,上海金山区亭林镇松隐敬老院,54,2004.4,松隐大街496号,57381091,201504,公建公营,王忠良
200404,亭林镇,上海金山区亭林镇敬老院,101,1984.7,金山区亭林镇桃贤路28号,57233617,201505,公建公营,吴金英
200405,亭林镇,上海金山区亭林镇第二敬老院,88,2016.5,金山区亭林镇大通路14号,67968831,201505,公建公营,王忠良
200406,工业区,上海金山工业区敬老院,175,1985.12,金山工业区高林路128号,57273102,201506,公建公营,沈红珍
200407,漕泾镇,上海金山区漕泾镇敬老院,100,2013.7,金山区漕泾镇中一西路488号,57251338,201507,公建公营,冯梅
200408,山阳镇,上海金山区山阳镇敬老院,362,2008.7,山阳镇山倪路1600号,57241684,201508,公建公营,吴华军
200409,金山卫镇,上海金山区金山卫镇敬老院,247,2004.2,金山卫镇张桥村刘建路2143号,57298868,201515,公建公营,徐慧芳
200410,廊下镇,上海金山区廊下镇敬老院,263,1984.5,廊下镇廊华公路156号,2157391299,201516,公建公营,陈丽红
200411,吕巷镇,上海金山区吕巷镇敬老院,302,2003.7,金山区吕巷镇太平村蒋巷1组4070号,57371549,201517,公建公营,韩爱华
200412,吕巷镇,上海金山区吕巷镇干巷敬老院,122,2014.4,吕巷镇干林路2818号,57206981,201518,公建公营,朱掌林
200413,张堰镇,上海金山区张堰镇敬老院,135,1985.2,张漕公路28号,57203330,201514,公建公营,蔡士远
200414,石化街道,上海金山区石化街道敬老院,60,2003.5,石化十村113号,57936835,200540,公建民营,郭卫锋
200415,区级,上海市金山区社会福利院,181,1995.1,梅州新村84号,57931619,200540,公建公营,李叶芳
200416,区级,上海金山区东林养老院,180,2000.12,朱泾镇东风南路185号,57319341,150099,民建民营,卢国秀
200417,亭林镇,上海金福居敬老院,200,2008.12,上海金山区车亭公路3466号,021-57237111-8001,201505,民建民营,许永春
200418,亭林镇,上海金山区亭林镇松隐养老院,150,2005.2,亭林镇松隐大街456号,57381174,201504,民建民营,鲁增寿
200419,山阳镇,上海金山区山阳镇养老院,152,2007.05,山阳镇向阳西路88号,57241224,201508,民建民营,高振奇
200420,石化街道,上海金山区永乐养老院,150,2008.08,金山区石化施二路55弄2号楼,67221589,200540,民建民营,俞向东
200421,张堰镇,上海张堰老年公寓,130,2007.12,张堰大街199号,57213008,201514,民建民营,郭卫锋
200422,金山卫镇,上海金夕老年公寓,172,2009.02,秦弯路1155弄19号,57291028,201515,民建民营,朱良宝
200423,朱泾镇,上海新农普度养老院,161,2012.02,朱泾镇慧农村5008号,57341163,201503,民建民营,释广德
200424,朱泾镇,上海颐和苑老年服务中心,466,2015.1,上海金山区朱泾镇金石北路7666号,37284268,201599,民建民营,周保云
200425,朱泾镇,上海颐和苑养老中心,392,2015.1,上海金山区朱泾镇金石北路7667号,37284268,201599,民建民营,周保云
200426,吕巷镇,上海鑫阳养老院,136,2017.3,金山区吕巷镇汇丰大街588号,57208699,201518,民建民营,蔡良钊
200427,南桥镇,上海市奉贤区福利院,320,199709,南桥镇古华路119号 ,57191303,201499,公建公营,朱正芳
200428,南桥镇,上海奉贤区南桥镇江海敬老院,252,199701,南桥镇江南路469号,57188525,201499,公建公营,陆菊华
200429,奉浦 街道,上海奉贤区奉浦敬老院,99,199207,奉浦街道陈桥路2388号,57433046,201401,公建公营,陈洁
200430,庄行镇,上海奉贤区庄行镇邬桥敬老院,118,201403,庄行镇渔沥村耀光1433号,57402368,201402,公建公营,吴唯一
200431,青村镇,上海奉贤区青村镇敬老院,260,200410,青村镇北唐村北港387号,57568101,201414,公建公营,俞玉莲
200432,四团镇,上海奉贤区四团镇敬老院,232,198412,四团镇北街100号,57534589,201412,公建公营,瞿建军
200433,奉城镇,上海奉贤区奉城镇头桥敬老院,50,198409,奉城镇新奉公路4942号,57551026,201409,公建公营,周丽英
200434,金汇镇,上海奉贤区金汇镇敬老院,58,199907,金汇镇果多路489号,57575176,201403,公建公营,陆新章
200435,金汇镇,上海奉贤区金汇镇泰日敬老院,110,200511,金汇镇泰青公路501号,57586135,201405,公建公营,陆新章
